,Date,Time,Open,Volume,Close,windcode
0,20170922,930,32.95,151400.0,32.95,002415.SZ
1,20170922,931,32.76,191700.0,32.84384144564267,002415.SZ
2,20170922,932,32.79,149100.0,32.82753149126371,002415.SZ
3,20170922,933,32.81,147750.0,32.823483865927024,002415.SZ
4,20170922,934,32.78,157000.0,32.81491749796098,002415.SZ
5,20170922,935,32.66,228800.0,32.78036217401901,002415.SZ
6,20170922,936,32.58,185300.0,32.7497052144833,002415.SZ
7,20170922,937,32.56,220500.0,32.720485138486254,002415.SZ
8,20170922,938,32.69,156000.0,32.71748952788889,002415.SZ
9,20170922,939,32.7,259650.0,32.71503112819403,002415.SZ
10,20170216,1448,27.84,54100.0,27.670054244990148,002415.SZ
11,20170216,1449,27.83,60800.0,27.670530889941293,002415.SZ
12,20170216,1450,27.83,92200.0,27.67124830089406,002415.SZ
13,20170216,1451,27.84,81963.0,27.671920492560346,002415.SZ
14,20170216,1452,27.86,539700.0,27.676727522125717,002415.SZ
15,20170216,1453,27.88,102591.0,27.677710323779944,002415.SZ
16,20170216,1454,27.9,536400.0,27.68319112264181,002415.SZ
17,20170216,1455,27.92,196600.0,27.685311974076363,002415.SZ
18,20170216,1456,27.93,121000.0,27.686653316181648,002415.SZ
19,20170216,1457,27.92,434800.0,27.69116107736852,002415.SZ
20,20170922,930,19.05,23500.0,19.05,300144.SZ
21,20170922,931,19.03,60900.0,19.035568720379146,300144.SZ
22,20170922,932,19.03,23700.0,19.034347826086957,300144.SZ
23,20170922,933,19.01,75900.0,19.024304347826085,300144.SZ
24,20170922,934,19.02,15400.0,19.023971915747243,300144.SZ
25,20170922,935,19.02,20500.0,19.023601637107777,300144.SZ
26,20170922,936,19.02,18100.0,19.023327731092436,300144.SZ
27,20170922,937,19.01,32300.0,19.021735109137992,300144.SZ
28,20170922,938,19.02,31400.0,19.021554524361946,300144.SZ
29,20170922,939,18.99,35200.0,19.018257643217574,300144.SZ
30,20170216,1448,20.37,22400.0,20.470679775329902,300144.SZ
31,20170216,1449,20.38,85257.0,20.468620308077544,300144.SZ
32,20170216,1450,20.39,1600.0,20.468586812762528,300144.SZ
33,20170216,1451,20.38,35100.0,20.467766526628196,300144.SZ
34,20170216,1452,20.39,23235.0,20.467292753273586,300144.SZ
35,20170216,1453,20.39,7700.0,20.467137017343703,300144.SZ
36,20170216,1454,20.39,6400.0,20.467008051285802,300144.SZ
37,20170216,1455,20.39,20200.0,20.466603815849652,300144.SZ
38,20170216,1456,20.4,13800.0,20.46636581942848,300144.SZ
39,20170216,1457,20.39,28700.0,20.465802496234573,300144.SZ
